و,778211
در,720406
به,509081
از,476880
که,285043
است,238876
این,227097
را,220832
با,168867
رده,141844
آن,111050
سال,107712
برای,85421
یک,84193
ایران,83178
بود,70730
او,69800
بر,66158
شد,65409
نام,58230
منابع,57741
شده,57409
تا,55865
خود,55622
یا,53086
می‌شود,50251
دارد,45163
کرد,44980
تاریخ,44379
شهر,44009
نیز,43532
سیارک,43029
شهرستان,42756
دو,37123
قرار,37062
پس,35527
استان,35486
یکی,34886
بخش,34126
دیگر,31701
عنوان,30183
بیرون,29967
وی,29917
زبان,29842
می,29561
تهران,29488
پیوند,29386
هم,29328
های,29288
دانشگاه,28377
استفاده,28359
میلادی,28214
هر,26512
مطلق,26384
نفر,25315
کشور,25077
ملی,24953
جمعیت,24228
وجود,23580
آمریکا,23578
توسط,23182
می‌باشد,23104
می‌کند,22945
برابر,22366
کار,22355
آنها,22352
کوچک,21641
مورد,21481
فیلم,21424
صورت,21151
محمد,21072
شده‌است,20970
باشد,20968
کتاب,20933
اما,20476
هستند,20454
بوده,20453
روی,20152
زمان,20057
ها,19071
دست,18959
سپتامبر,18826
بین,18734
دهستان,18658
مرکزی,17876
زندگی,17772
مرکز,17748
بعد,17395
همچنین,17388
پیش,17374
روز,17273
دارای,17254
شود,17099
منبع,16892
فارسی,16801
اول,16763
اسلامی,16733
مردم,16631
واقع,16577
گروه,16175
بزرگ,16044
آب,15824
اجرام,15755
داشت,15741
اهل,15623
روستاهای,15586
ناسا,15585
وابسته,15500
تصویر,15434
بازیابی‌شده,15406
اصلی,15280
شرکت,15256
دادگان,15129
سیارک‌ها,15116
جنگ,14804
دوم,14798
کند,14765
فهرست,14760
انگلیسی,14519
نظر,14495
جعبه,14494
مانند,14386
بیشتر,14310
موسیقی,14302
کرده,14255
منطقه,14197
دوره,14184
بسیار,14166
زیر,14157
سه,14151
چاپ,14136
قدر,14101
ایرانی,14084
می‌کنند,14064
علی,13570
سازمان,13517
داد,13334
آثار,13274
اطلاعات,13257
بن,13226
انجام,13179
ولی,13155
جهان,13093
بودند,13061
آمار,13041
داشته,12983
جستارهای,12919
مرگ,12867
جمهوری,12859
میان,12850
دارند,12838
راه,12820
چند,12522
بازی,12255
برخی,12254
اولین,12134
حال,12083
آغاز,11997
فعالیت,11985
داده,11965
روستا,11782
اثر,11780
جنوب,11680
شرقی,11663
می‌توان,11557
غربی,11541
نوع,11533
شاه,11521
رسمی,11511
دولت,11499
گرفته,11481
حدود,11405
تولید,11230
نقش,11206
بار,11156
تشکیل,11085
فوتبال,11049
روستای,11036
می‌شوند,11035
آذربایجان,10897
همراه,10875
كه,10870
بسیاری,10822
تنها,10752
شمال,10696
سیاسی,10675
بی,10665
کردن,10660
شامل,10645
ماه,10596
وب‌گاه,10535
اگر,10491
شدن,10483
گرفت,10446
دوران,10376
باید,10259
ی,10213
مجموعه,10002
حزب,9994
محل,9974
ایجاد,9653
جمله,9643
جهانی,9545
اساس,9520
همین,9498
زمین,9480
می‌دهد,9478
مختلف,9442
شهرهای,9366
سر,9292
شکل,9272
ساخته,9248
نشان,9231
زادگان,9156
اين,9144
انقلاب,9102
فرهنگ,8999
طول,8914
همه,8862
کردند,8788
متر,8681
علوم,8644
جایزه,8629
خط,8582
ساخت,8538
شدند,8527
افراد,8495
بیش,8458
تیم,8457
درگاه,8450
تاریخی,8405
دلیل,8359
سطح,8355
تمام,8306
فرانسه,8297
متحده,8295
چون,8284
زیادی,8261
معروف,8218
سید,8216
توجه,8195
ای,8192
عربی,8184
نخستین,8168
همان,8125
سیستم,8122
من,8107
پایان,8057
هجری,8036
نمود,7981
جدید,7972
دکتر,7972
نیست,7962
یافت,7905
تعداد,7887
هزار,7870
مجلس,7860
برنامه,7857
ایالات,7831
احمد,7828
علمی,7817
ص,7811
گفته,7811
توابع,7795
جهت,7755
طور,7746
قرن,7736
قبل,7734
بهترین,7722
اسلام,7702
سوم,7675
بوده‌است,7667
نویسنده,7661
یعنی,7650
آزاد,7620
جوایز,7613
قابل,7503
غیر,7407
زنان,7402
تولد,7391
تغییر,7389
داستان,7353
خانه,7352
مدت,7347
ما,7335
اشاره,7331
پانویس,7318
تحت,7315
کنند,7280
انتشارات,7210
آلمان,7207
اند,7175
وب,7106
حکومت,7105
ترجمه,7102
نسبت,7084
باعث,7065
زمانی,7056
وارد,7055
رشته,7046
نوشته,7025
حسین,7020
رئیس,7008
انتشار,7004
سمت,6998
کیلومتر,6996
مسجد,6975
دیگری,6962
قانون,6944
جنوبی,6937
می‌تواند,6933
سپس,6921
عمومی,6916
اینکه,6907
شورای,6877
ادامه,6864
الله,6852
خواهد,6852
فرهنگی,6836
چهار,6823
منتشر,6808
سوی,6791
آمد,6790
بدون,6756
خان,6702
سرشماری,6665
آلبوم,6664
قلعه,6626
درگذشتگان,6613
روستایی,6598
آن‌ها,6596
می‌شد,6569
درجه,6551
مربوط,6543
صفحه,6515
بازیگر,6501
رنگ,6413
بالا,6396
چه,6386
شیخ,6372
انتخاب,6371
دهستان‌های,6352
آموزش,6334
زن,6321
مهم,6319
باشگاه,6316
جای,6279
روش,6260
اعلام,6256
دور,6206
باز,6202
غرب,6164
کوه,6138
گردید,6138
اروپا,6136
نه,6136
روزنامه,6135
کامل,6133
شروع,6132
اهالی,6105
قسمت,6080
عراق,6070
شمالی,6063
اجتماعی,6025
اعضای,6022
ممکن,6011
تبدیل,6009
هنر,6006
خانوار,6005
کشورهای,5999
ترین,5997
آمریکایی,5994
انسان,5978
پسر,5977
شبکه,5969
امام,5949
خورشیدی,5941
سایت,5939
افزایش,5917
حقوق,5913
بازدید,5871
حسن,5846
مناطق,5841
نیروی,5838
وزارت,5809
نظامی,5790
تقویم,5781
شماره,5775
جان,5770
کنار,5755
رسید,5754
دهه,5720
دنیا,5716
هیچ,5713
چنین,5710
عضو,5709
آباد,5696
آنجا,5694
آنان,5693
افغانستان,5686
خراسان,5670
بنا,5664
ادبیات,5662
موجود,5650
زاده,5615
فارس,5608
توسعه,5599
سی,5599
عمل,5577
کننده,5573
ریاست,5559
معنی,5546
تپه,5540
مهندسی,5533
جلد,5531
می‌گیرد,5526
درباره,5523
مواد,5510
جام,5503
خانواده,5490
طبیعی,5477
قدرت,5470
دریافت,5445
حضور,5442
سبک,5429
فیلم‌های,5424
حتی,5421
جریان,5404
انتخابات,5400
سازی,5383
هنگام,5368
طریق,5358
پدر,5357
طی,5356
بودن,5335
ایالت,5326
اصفهان,5306
جزیره,5301
داخلی,5299
می‌رود,5292
نیروهای,5285
میلیون,5282
رفت,5275
اسرائیل,5261
طراحی,5233
نتیجه,5212
گل,5205
می‌کرد,5198
کمک,5184
می‌گردد,5179
گفت,5170
پیدا,5167
شعر,5161
علت,5160
درصد,5158
پزشکی,5157
میلاد,5156
حرکت,5144
ویکی,5130
استاد,5108
نزدیک,5108
خارج,5081
قمری,5062
انواع,5051
گذشته,5046
م,5045
سایر,5043
واحد,5042
رشد,5027
هند,5023
چین,5020
سده,4996
انجمن,4996
مرد,4984
ندارد,4981
شناخته,4981
برد,4979
زمینه,4969
رویدادها,4965
رود,4962
طرف,4954
اقتصادی,4953
روسیه,4942
باشند,4939
پایگاه,4931
اسپانیا,4929
مي,4925
ویژه,4924
فقط,4920
دانشکده,4918
سرعت,4903
وزیر,4897
کم,4882
حالت,4874
پی,4868
تر,4864
شرق,4849
زنده,4848
بیماری,4819
قرآن,4803
اکنون,4801
اندازه,4775
بررسی,4761
مدرسه,4749
آمده,4720
شمار,4716
ارائه,4707
رضا,4691
بدن,4689
میرزا,4687
مدیریت,4670
دی,4669
علم,4667
کل,4652
